page,SpeedIndex,totalBytes,TTFB,renderStart,numConnections,numDomElements,numDomains,numRedirects,uses_cdn,bytesCss,reqCss,bytesJS,reqJS,bytesImg,reqImg,bytesFont,reqFont,bytesHtml,reqHtml,bytesJSON,reqJSON,reqTotal,gzipSavings,maxDomainReqs,maxage0,maxage1,maxage30,maxage365,maxageMore,maxageNull,num_long_tasks,TotalBlockingTime,EvaluateScript,FunctionCall,Layout,image_savings,renderBlockingCSS,renderBlockingJS,FirstContentfulPaint,FirstImagePaint,FirstMeaningfulPaint,FirstPaint,LargestContentfulPaint,layout_shifts_count,loadEventDuration,dclDuration,_responses_200,_responses_404,_responses_other,analytics,ads,marketing,fonts_scripts,tagman,chat,img_missing_width,img_missing_height,img_lazy_count,svg_count,is_lcp_preloaded,scripts_total,scripts_inline,scripts_async,scripts_defer
https://www.motoblok.biz/ua/catalog/11281/drovokoly/f/proizvoditel__scheppach.html,5309,2175574,3912,100,21,3294,15,1,true,55955,5,1417196,40,507077,46,148212,1,46466,6,,,112,0,77,0,1,0,77,0,34,13,1205,740,222,691,28212,4,0,4356,5007,5007,4340,,69,0,4,106,0,6,3,1,1,0,1,0,36,36,27,0,false,49,35,37,1
https://www.motokinisi.gr/axesoyar-moto/antikleptika-michanis/artago.html,10726,4125669,3786,200,39,4578,29,3,false,186632,13,2359771,270,1071876,95,426692,9,60441,40,,,449,0,349,0,18,2,347,2,80,20,1072,1313,1099,457,0,8,3,5989,5989,6268,5816,,10,8,4,432,0,17,3,0,0,1,1,0,83,84,0,7,,287,38,266,0
https://www.motomachi-kitamura.com/,8647,14755019,888,100,11,2436,10,2,false,64515,18,768412,31,13868569,76,29644,3,23876,4,,,134,0,117,0,2,0,5,0,127,4,376,176,61,307,9040830,15,22,2169,2169,2169,2108,,3,16,6,119,0,15,2,0,0,1,1,0,136,136,0,13,false,43,13,6,0
https://www.motomegane.com/,11160,3798691,809,100,132,3983,122,77,false,34406,9,2290354,60,951569,111,46440,2,158765,57,,,371,94701,39,0,14,6,38,1,312,26,1558,640,697,1029,0,5,8,3716,3716,3716,3008,,,17,236,234,0,137,4,6,1,1,1,0,0,0,0,0,false,81,36,33,2
https://www.motoplanete.com/,7866,3131691,1866,100,168,903,139,300,false,58762,14,1736822,108,1089881,172,89523,3,141483,152,,,713,22312,88,0,15,5,106,0,587,11,348,600,506,243,0,9,2,3222,3222,3222,3136,,55,2,10,377,0,336,1,1,0,1,1,0,31,31,56,9,false,39,21,20,2
https://www.motor.no/,4704,34715835,408,100,40,4943,33,3,true,73590,9,2198422,44,32025936,50,169696,3,92852,5,,,133,3806,31,0,28,8,5,0,92,18,2231,980,164,1183,50206,5,4,1273,1273,1273,1156,,5,5,50,124,0,9,5,4,1,1,1,0,0,0,396,0,false,87,46,38,1
https://www.motor1.com/,5593,4667302,385,100,345,2584,266,388,false,11315,5,3177793,180,836398,272,40720,3,325523,214,,,1109,144103,35,0,49,24,14,17,1005,35,985,1403,1082,266,0,4,2,833,1080,1168,756,,8,10,1,631,0,478,4,10,1,1,1,0,3,3,50,2,false,152,51,93,10
https://www.motor1.com/news/778633/porsche-axial-flux-motors-hybrid-patent/,6318,5142719,359,100,345,1753,247,405,false,3205,2,3629579,137,822668,271,49388,4,315507,208,,,1083,79390,28,0,62,14,18,15,974,32,1421,1387,1451,369,59595,2,7,771,1117,1285,700,,20,13,0,583,0,500,4,12,0,1,1,1,2,2,23,1,false,123,53,65,8
https://www.motorhomefun.co.uk/,6974,1930352,3837,100,16,1351,11,1,false,175636,26,725081,42,786490,21,131132,4,98840,21,,,117,0,75,0,2,2,4,0,109,9,408,275,302,556,29116,25,4,5291,5994,5291,5224,,24,108,4,100,1,16,2,1,0,1,0,0,0,0,0,0,false,69,27,13,0
https://www.motorola.com.ar/,8078,6262463,192,200,59,1386,50,17,true,86435,4,2472600,92,2559632,85,977172,4,159967,18,,,247,297288,83,0,3,1,13,0,230,20,990,703,903,427,0,0,1,1395,1395,2401,1228,,36,1,1,214,2,31,6,3,0,0,1,1,50,50,36,3,false,109,37,70,2
https://www.motorola.com.br/,4615,11243574,358,200,81,2508,68,12,true,399718,6,2582185,96,6434819,104,1479592,6,326828,20,,,384,212965,122,0,8,9,4,0,363,25,2661,1129,1751,1045,0,4,1,2819,2819,2995,2672,,55,14,0,353,0,31,7,4,0,1,1,0,40,40,80,2,false,152,60,88,2
