page,SpeedIndex,totalBytes,TTFB,renderStart,numConnections,numDomElements,numDomains,numRedirects,uses_cdn,bytesCss,reqCss,bytesJS,reqJS,bytesImg,reqImg,bytesFont,reqFont,bytesHtml,reqHtml,bytesJSON,reqJSON,reqTotal,gzipSavings,maxDomainReqs,maxage0,maxage1,maxage30,maxage365,maxageMore,maxageNull,num_long_tasks,TotalBlockingTime,EvaluateScript,FunctionCall,Layout,image_savings,renderBlockingCSS,renderBlockingJS,FirstContentfulPaint,FirstImagePaint,FirstMeaningfulPaint,FirstPaint,LargestContentfulPaint,layout_shifts_count,loadEventDuration,dclDuration,_responses_200,_responses_404,_responses_other,analytics,ads,marketing,fonts_scripts,tagman,chat,img_missing_width,img_missing_height,img_lazy_count,svg_count,is_lcp_preloaded,scripts_total,scripts_inline,scripts_async,scripts_defer
https://testbook.com/,1723,6372848,437,100,39,1802,37,4,true,932653,36,4729236,130,522917,46,0,0,172487,24,,,259,0,174,0,6,42,111,0,100,15,1088,589,798,785,0,0,1,1428,1428,1428,1332,,10,1,2,249,0,10,6,3,1,0,1,0,50,50,77,24,,43,10,27,3
https://alastonsuomi.com/,1723,248965,755,100,4,127,5,1,false,58777,5,60873,7,126367,6,0,0,2948,2,,,21,0,13,0,2,12,0,1,6,,,17,10,23,0,3,4,1353,1452,1558,1308,,,1,0,19,0,2,0,0,0,0,0,0,1,1,0,0,false,12,5,1,0
https://firefaucet.win/,1723,1575365,333,100,15,438,11,0,true,113687,8,948127,13,64155,16,391624,5,57772,3,,,48,0,23,0,0,22,11,0,15,8,611,198,398,632,0,7,4,1326,1326,1769,1224,,15,15,108,45,0,3,2,0,0,1,0,0,2,2,0,2,null,34,24,18,1
https://botinok.porn/c/reality/,1724,567091,801,100,8,1192,2,0,false,3172,1,5144,4,551319,52,0,0,7053,1,,,59,0,57,0,0,57,0,0,2,,,3,15,29,7720,1,0,1183,1411,1183,1084,,,0,1,59,0,0,1,0,0,0,0,0,92,92,0,0,false,7,3,1,2
https://www.bibliaon.com/,1726,4029874,477,100,424,967,313,742,false,51180,2,2705094,166,502845,477,282372,15,423336,370,,,1747,61537,53,0,67,54,32,0,1594,36,1550,1791,1631,463,0,1,2,1180,1347,1180,1064,,1,38,1,905,2,840,6,14,0,0,1,0,12,14,8,5,false,84,21,65,4
https://elevenlabs.io/contact-sales,1726,3364575,313,200,34,257,25,4,true,42505,1,2846743,85,18432,13,286024,10,135271,7,,,140,0,59,0,5,1,7,0,127,14,513,889,967,183,0,1,1,738,3404,,580,,5,2,0,128,0,12,2,1,1,0,1,1,0,0,8,8,null,74,45,34,3
https://www.hln.be/,1727,5959350,230,100,96,3610,83,50,true,104386,13,2453994,49,462064,56,115350,3,125043,31,,,245,207386,13,0,54,2,12,0,177,25,1651,1247,1052,799,0,2,1,1146,1544,1146,1052,,15,7,25,182,0,63,4,2,1,0,1,1,5,6,126,1,false,115,77,41,2
https://dictionary.cambridge.org/plus/,1728,4382479,251,100,469,1254,321,1136,true,24047,4,2181033,256,1280265,690,23264,2,441041,489,,,2543,125887,71,0,55,58,19,1,2410,36,2334,2145,1189,895,30633,2,8,1159,1263,1159,1040,,20,0,0,1279,2,1262,5,13,1,0,1,0,26,26,0,5,false,88,31,63,9
https://filmix.my/,1728,921408,745,100,18,1967,15,1,true,47274,7,316359,18,396553,43,136764,6,22895,3,,,90,24034,44,0,1,0,67,0,22,4,89,154,102,178,0,1,0,1465,1557,1465,1340,,,7,0,81,0,9,2,0,0,0,0,0,29,29,49,0,false,33,12,16,0
https://www.yr.no/,1729,1159345,1113,100,9,997,6,2,true,27563,2,354138,10,381430,24,259043,1,83485,2,,,60,0,47,0,16,4,0,0,40,3,62,19,277,82,0,0,0,1635,1635,1635,1536,,11,0,0,57,0,3,0,0,0,0,0,1,2,2,8,21,null,20,10,12,1
https://yt1d.com/,1730,721329,603,100,8,308,7,2,false,199504,11,307144,6,9300,2,196044,3,9285,2,,,26,0,17,0,17,2,1,0,6,2,124,21,90,125,0,11,0,1618,1618,1618,1528,,2,5,1,23,0,3,1,0,0,0,0,0,1,1,0,0,null,6,1,1,1
https://revistaoeste.com/,1730,466658,566,200,2,2713,3,1,true,53921,22,18497,7,258744,13,43592,3,91844,1,,,49,0,38,0,2,0,42,0,5,3,384,156,8,359,0,1,0,1416,1416,1416,1252,,30,0,2,47,0,2,5,12,1,1,1,1,2,2,0,0,false,140,30,129,7
https://www.bestjavporn.com/,1732,1643219,327,100,30,725,23,1,true,31318,5,469780,15,1006166,31,116272,3,15410,3,,,71,0,16,0,3,9,25,4,30,5,350,113,151,428,3642,2,0,1262,1262,1262,1132,,6,1,45,65,1,5,1,2,0,1,0,0,40,40,0,0,false,35,22,7,0
https://www.autotrader.co.uk/,1732,2352605,309,200,30,1628,19,2,true,0,0,1188240,30,894822,38,26956,1,184887,9,,,99,0,31,0,12,2,18,0,67,14,692,306,910,291,0,0,0,3708,3708,3708,952,,1,2,0,91,0,8,2,3,2,0,1,2,15,15,29,4,false,39,15,25,1
https://www.farpost.ru/realty/,1732,928600,1030,100,4,2050,4,0,false,68956,6,735336,25,101907,22,1744,1,20657,10,,,66,43837,54,0,0,11,38,0,17,4,125,220,109,135,0,4,0,1565,1882,1601,1504,,,1,0,64,0,2,2,0,0,0,0,0,1,1,51,1,null,47,22,24,0
https://demonicscans.org/manga/The-World-After-the-Fall,1733,4032554,274,100,156,1970,136,167,true,4065,1,509986,16,3168829,113,72610,1,74713,91,,,421,7225,22,0,13,5,30,0,373,11,1237,433,445,874,714362,0,1,489,557,1020,448,,36,0,2,202,0,219,3,2,0,0,0,0,61,61,9,0,null,28,16,14,1
https://twstalker.com/search/%23%D8%A7%D8%B9%D9%84%D9%86_%D9%87%D8%B4%D8%AA%D8%A7%D9%82%D9%83__%D8%AA%D8%B1%D9%86%D8%AF%CE%B85%CE%B83%CE%B846347,1733,728686,806,200,14,354,13,1,true,77771,10,376117,9,68950,5,181948,2,23788,4,,,36,0,10,0,2,2,14,0,18,4,215,291,264,122,6321,10,2,1704,1704,1704,1528,,3,1,7,32,0,4,1,0,0,2,0,0,5,5,0,1,false,12,6,4,0
https://www.dnews.gr/,1733,4856445,468,100,36,1514,25,0,true,24524,1,1144539,26,2967976,65,121696,5,85662,27,,,139,1460,44,0,6,3,6,41,83,7,505,557,327,283,955175,0,3,1434,1434,1434,1312,,,1,0,99,0,40,2,5,0,0,1,0,98,98,96,1,,18,3,16,0
